Country,EXP,IMP,Grand Total,#,GDP,GDP (Full Value),GDP Growth,GDP per Capita,Year,GDP_Numeric,GDP_Growth_Numeric,GDP_Per_Capita,Trade_Intensity,Trade_Balance_Index
Nicaragua,302240,2458348,2760588,133,$19.69 billion,19694000000,3.5999999999999997E-2,2843,2024,19694000000,NA,2843,140.17406316644664,-0.7810321569172944
Niger,1263257,46446,1309703,131,$19.87 billion,19866000000,0.10299999999999999,707,2024,19866000000,0.103,707,65.92685996174369,0.9290739961655429
Nigeria,10877067,882074,11759141,55,$252.11 billion,252109000000,4.1000000000000002E-2,1084,2024,252109000000,NA,1084,46.64308295221511,0.8499764566136251
Oman,17240624,12078180,29318804,73,$106.94 billion,106943000000,1.7000000000000001E-2,20059,2024,106943000000,NA,20059,274.1535584376724,0.1760796245303867
Pakistan,15033501,55491768,70525269,44,$371.41 billion,371408000000,2.5000000000000001E-2,1574,2024,371408000000,NA,1574,189.88624100719426,-0.5736705095020623
Panama,1024980,1814360,2839340,80,$86.52 billion,86524000000,2.7E-2,19187,2024,86524000000,NA,19187,32.81563496833249,-0.278015313417907
Paraguay,1125181,2867568,3992749,101,$44.46 billion,44458000000,4.2000000000000003E-2,6456,2024,44458000000,NA,6456,89.80946061451257,-0.43638781200621424
Peru,3460558,29429723,32890281,49,$294.68 billion,294675000000,3.3000000000000002E-2,8650,2024,294675000000,NA,8650,111.61544413336726,-0.7895695691988767
Portugal,30493293,233897610,264390903,47,$308.58 billion,308581000000,1.9E-2,28887,2024,308581000000,NA,28887,856.7957942971213,-0.76933175344539
San Marino,567591,70022,637613,192,$2.08 billion,2082000000,7.0000000000000001E-3,60811,2024,2082000000,NA,60811,306.25024015369837,0.7803620691548008
Senegal,2329709,275137,2604846,110,$32.82 billion,32816000000,6.4000000000000001E-2,1759,2024,32816000000,NA,1759,79.37731594344223,0.7887498915482911
Sierra Leone,1678494,0,1678494,161,$7.79 billion,7792000000,4.3999999999999997E-2,902,2024,7792000000,NA,902,215.41247433264888,1
Sri Lanka,4500005,30538900,35038905,74,$98.96 billion,98964000000,0.05,4325,2024,98964000000,0.05,4325,354.05708136291986,-0.7431423727425271
Sudan,0,10205,10205,113,$29.18 billion,29184000000,−23.4%,594,2024,29184000000,23.4,594,0.3496779057017544,-1
Suriname,212115,37572,249687,174,$4.45 billion,4452000000,0.03,6881,2024,4452000000,0.03,6881,56.08423180592992,0.6990472071032934
Thailand,122747052,348814472,471561524,30,$526.52 billion,526518000000,2.5000000000000001E-2,7493,2024,526518000000,NA,7493,895.6227973212692,-0.4794017503429733
Togo,2277303,330356,2607659,157,$9.78 billion,9776000000,5.2999999999999999E-2,1024,2024,9776000000,NA,1024,266.7408960720131,0.746626380213057
Turkmenistan,674965,0,674965,89,$68.67 billion,68675000000,0.03,10408,2024,68675000000,0.03,10408,9.828394612304333,1
Uganda,452900,407358,860258,91,$56.23 billion,56232000000,6.3E-2,1206,2024,56232000000,NA,1206,15.298371034286527,0.0529399319738962
Ukraine,17470083,15280932,32751015,59,$190.69 billion,190687000000,2.9000000000000001E-2,5719,2024,190687000000,NA,5719,171.75274140345172,0.06684223374451143
Uruguay,4233245,1911947,6145192,83,$80.96 billion,80961000000,3.1E-2,23186,2024,80961000000,NA,23186,75.90311384493769,0.3777421437767933
Venezuela,1220089,674762,1894851,67,$119.8 billion,119803000000,5.2999999999999999E-2,4510,2024,119803000000,NA,4510,15.81639024064506,0.2877941326257315
Vietnam,129703685,703444222,833147907,34,$459.47 billion,459472000000,7.0999999999999994E-2,4536,2024,459472000000,NA,4536,1813.2724235644391,-0.6886418752054789
